sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
actinoallomurus acanthiterrae	32.5	18.0					1	32.5	0.0
actinoallomurus oryzae	35.5	21.0					1	35.5	0.0
actinoallomurus spadix			33.0				1	33.0	0.0
actinoalloteichus cyanogriseus			29.0				1	29.0	0.0
actinoalloteichus hymeniacidonis			29.0		28.5	Lyubetsky et al., 2020	2	28.75	0.5
actinobacillus equuli					37.0	Lyubetsky et al., 2020	1	37.0	0.0
actinobacillus pleuropneumoniae					37.0	Lyubetsky et al., 2020	1	37.0	0.0
actinobacillus sp.			35.0				1	35.0	0.0
actinobacillus succinogenes			34.0		37.0	Lyubetsky et al., 2020	2	35.5	3.0
actinobacillus suis					37.0	Lyubetsky et al., 2020	1	37.0	0.0
actinobacteria bacterium					6.29	aciDB	1	6.29	0.0
actinobaculum suis	22.5	30.0		22.5	37.0	BacDive	3	27.333333333333332	14.5
actinocatenispora rupis					32.5	BacDive	1	32.5	0.0
actinocatenispora sera	21.5	13.0		21.5	21.5	BacDive	3	21.5	0.0
actinocatenispora thailandica			29.0		28.0	BacDive	2	28.5	1.0
actinocorallia aurantiaca	26.5	10.0	33.0				2	29.75	6.5
actinocorallia glomerata	29.0	7.0					1	29.0	0.0
actinocorallia libanotica	29.0	10.0					1	29.0	0.0
actinocorallia longicatena			29.0				1	29.0	0.0
actinocrinis puniceicyclus	22.5	13.0	22.0	22.5			3	22.333333333333332	0.5
actinocrispum wychmicini	27.0	20.0		27.0			2	27.0	0.0
actinokineospora auranticolor			29.0				1	29.0	0.0
actinokineospora enzanensis			29.0				1	29.0	0.0
actinokineospora fastidiosa			26.0				1	26.0	0.0
actinokineospora guangxiensis	31.0	20.0					1	31.0	0.0
actinokineospora inagensis				24.5			1	24.5	0.0
actinokineospora mzabensis	27.5	20.0		27.5			2	27.5	0.0
actinomadura alba			29.0				1	29.0	0.0
actinomadura amylolytica	45.0	25.0	45.0				2	45.0	0.0
actinomadura atramentaria	32.5	15.0	29.0				2	30.75	3.5
actinomadura catellatispora			29.0				1	29.0	0.0
actinomadura cellulosilytica	45.0	25.0	45.0				2	45.0	0.0
actinomadura citrea	29.0	10.0	27.0				2	28.0	2.0
actinomadura coerulea	29.0	10.0					1	29.0	0.0
actinomadura cremea			27.0				1	27.0	0.0
actinomadura formosensis			30.0				1	30.0	0.0
actinomadura fulva			26.0				1	26.0	0.0
actinomadura glauciflava			29.0				1	29.0	0.0
actinomadura hibisca			27.0				1	27.0	0.0
actinomadura keratinilytica	45.0	30.0	45.0		45.0	ThermoBase	3	45.0	0.0
actinomadura kijaniata			27.0				1	27.0	0.0
actinomadura latina			31.0				1	31.0	0.0
actinomadura luteofluorescens			27.0				1	27.0	0.0
actinomadura madurae	32.5	10.0	32.0				2	32.25	0.5
actinomadura melliaura			26.0				1	26.0	0.0
actinomadura mexicana			29.0				1	29.0	0.0
actinomadura meyerae			29.0				1	29.0	0.0
actinomadura namibiensis			29.0				1	29.0	0.0
actinomadura napierensis			29.0				1	29.0	0.0
actinomadura ochracea			26.0				1	26.0	0.0
actinomadura oligospora			29.0				1	29.0	0.0
actinomadura pelletieri			32.0				1	32.0	0.0
actinomadura rhizosphaerae	33.5	20.0					1	33.5	0.0
actinomadura rubrobrunea	50.0	37.0	55.0		50.0	ThermoBase	3	51.666666666666664	5.0
actinomadura rugatobispora			29.0				1	29.0	0.0
actinomadura rupiterrae	39.5	20.0					1	39.5	0.0
actinomadura sp.			29.0				1	29.0	0.0
actinomadura sputi			31.0				1	31.0	0.0
actinomadura umbrina			33.0				1	33.0	0.0
actinomadura verrucosospora			31.0				1	31.0	0.0
actinomadura vinacea			29.0				1	29.0	0.0
actinomadura viridilutea	50.0	37.0	50.0		50.0	ThermoBase	3	50.0	0.0
actinomadura viridis			33.5				1	33.5	0.0
actinomadura yumaensis			32.0				1	32.0	0.0
actinomyces massiliensis			34.0		37.0	BacDive	2	35.5	3.0
actinomyces naturae	33.5	20.0					1	33.5	0.0
actinomyces oris					36.0	Lyubetsky et al., 2020	1	36.0	0.0
actinomyces radicidentis					36.0	Lyubetsky et al., 2020	1	36.0	0.0
actinomyces ruminicola	46.0	20.0	45.0		46.0	ThermoBase	3	45.666666666666664	1.0
actinomyces timonensis					37.0	BacDive	1	37.0	0.0
actinomycetospora endophytica	22.5	15.0					1	22.5	0.0
actinophytocola corallina	26.5	15.0					1	26.5	0.0
actinophytocola oryzae	23.0	12.0		23.0			2	23.0	0.0
actinophytocola timorensis	26.5	15.0					1	26.5	0.0
actinophytocola xinjiangensis	27.5	10.0		27.5			2	27.5	0.0
actinoplanes abujensis	27.5	20.0		27.5			2	27.5	0.0
actinoplanes arizonaensis			26.0				1	26.0	0.0
actinoplanes atraurantiacus				27.5			1	27.5	0.0
